"ID

"	State	Pcode1	County	Pcode2	Mid 2016 Population	Mid 2017 Population	CCCM	EDUCATION	FSL	HEALTH	NUTRITION	PROTECTION	SHELTER & NFIs	WASH	Total People In Need with Refugee Response	Total People In Need	Total People In Need + People In Need with Refugee Response			
1	Upper Nile	71	Renk	7101	182325	185534	0 	18414 	15707 	70804 	37601 	16507 	18198 	63316 	0	70804	70804			
2	Upper Nile	71	Manyo	7102	65059	66226	0 	6571 	32243 	21860 	7600 	0 	0 	15768 	0	32243	32243			
3	Upper Nile	71	Fashoda	7103	43311	44088	0 	4374 	21033 	50523 	5060 	74883 	37393 	54416 	0	54416	54416			
4	Upper Nile	71	Melut	7104	59299	60363	27501 	5989 	11394 	39137 	6224 	72540 	21015 	37147 	0	39137	39137			
5	Upper Nile	71	Maban	7105	64273	65426	0 	6491 	8708 	0 	6175 	59670 	11267 	59796 	157359	59796	217155			
6	Upper Nile	71	Maiwut	7106	103875	105739	0 	10491 	5801 	38466 	15880 	106662 	26999 	39559 	0	39559	39559			
7	Upper Nile	71	Luakpiny/Nasir	7107	257177	261792	0 	25973 	46966 	128435 	36522 	250781 	55418 	98490 	0	128435	128435			
8	Upper Nile	71	Longochuk	7108	82592	84073	0 	8341 	10161 	37899 	14095 	71044 	9638 	28529 	0	37899	37899			
9	Upper Nile	71	Ulang	7109	110330	112310	0 	11143 	18819 	49034 	17249 	16060 	16230 	35503 	0	49034	49034			
10	Upper Nile	71	Baliet	7110	62619	63743	0 	6324 	56378 	29136 	7315 	60164 	12722 	26054 	0	56378	56378			
11	Upper Nile	71	Malakal	7111	152831	155562	57544 	15435 	171000 	77547 	19288 	171851 	57027 	93897 	0	171000	171000			
12	Upper Nile	71	Panyikang	7112	52905	53854	0 	5343 	21789 	25016 	6180 	51679 	11477 	22267 	0	25016	25016			
13	Jonglei	72	Fangak	7201	163174	166101	76200 	20543 	23807 	99597 	18438 	188381 	49460 	118321 	0	118321	118321			
14	Jonglei	72	Canal/Pigi	7202	124127	126354	0 	15627 	14884 	76904 	14026 	138184 	34068 	68527 	0	76904	76904			
15	Jonglei	72	Ayod	7203	175125	178268	0 	22047 	32060 	63593 	19789 	181344 	38603 	69826 	0	69826	69826			
16	Jonglei	72	Duk	7204	121078	123250	0 	15243 	26793 	54494 	13383 	118809 	26728 	47296 	0	54494	54494			
17	Jonglei	72	Uror	7205	209186	212940	0 	26335 	25887 	87303 	30975 	246890 	67152 	57402 	0	87303	87303			
18	Jonglei	72	Nyirol	7206	139305	141805	0 	17538 	25887 	55966 	14502 	132479 	27129 	62276 	0	62276	62276			
19	Jonglei	72	Akobo	7207	176431	179597	0 	22211 	17266 	118437 	21418 	167323 	33962 	117807 	0	118437	118437			
20	Jonglei	72	Pochalla	7208	87578	89093	0 	11025 	10444 	30140 	9896 	12000 	12240 	11396 	2785	30140	32925			
21	Jonglei	72	Pibor	7209	174838	177975	0 	22011 	32060 	60965 	19756 	200938 	26278 	26323 	0	60965	60965			
22	Jonglei	72	Twic East	7210	127219	129501	0 	16016 	21660 	61816 	19340 	129351 	4631 	45418 	0	61816	61816			
23	Jonglei	72	Bor South	7211	292517	297765	19847 	36826 	41923 	97056 	33054 	304605 	12860 	115296 	0	115296	115296			
24	Unity	73	Pariang	7301	146881	149517	0 	18037 	57403 	31188 	20353 	135427 	24946 	52514 	114795	57403	172198			
25	Unity	73	Abiemnhom	7302	24223	24658	0 	2975 	3581 	15362 	4517 	30167 	10846 	16809 	0	16809	16809			
